county,town,avg
臺北市,松山區,472.83
臺北市,信義區,659.5
臺北市,大安區,806.0
臺北市,中山區,629.67
臺北市,中正區,739.17
臺北市,大同區,731.17
臺北市,萬華區,659.17
臺北市,文山區,578.0
臺北市,南港區,524.17
臺北市,內湖區,705.67
臺北市,士林區,685.83
臺北市,北投區,639.67
新北市,板橋區,634.5
新北市,三重區,770.83
新北市,中和區,763.5
新北市,永和區,608.5
新北市,新莊區,728.5
新北市,新店區,670.83
新北市,樹林區,652.83
新北市,鶯歌區,678.67
新北市,三峽區,633.33
新北市,淡水區,774.0
新北市,汐止區,743.0
新北市,瑞芳區,526.5
新北市,土城區,656.5
新北市,蘆洲區,648.5
新北市,五股區,809.0
新北市,泰山區,649.33
新北市,林口區,628.83
新北市,深坑區,692.83
新北市,石碇區,680.67
新北市,坪林區,310.33
新北市,三芝區,802.5
新北市,石門區,566.0
新北市,八里區,868.83
新北市,平溪區,436.67
新北市,雙溪區,562.17
新北市,貢寮區,550.17
新北市,金山區,701.83
新北市,萬里區,318.5
新北市,烏來區,586.83
臺中市,中區,576.33
臺中市,東區,781.67
臺中市,南區,723.0
臺中市,西區,740.33
臺中市,北區,901.33
臺中市,西屯區,918.67
臺中市,南屯區,894.67
臺中市,北屯區,705.5
臺中市,豐原區,663.83
臺中市,東勢區,514.5
臺中市,大甲區,880.5
臺中市,清水區,642.5
臺中市,沙鹿區,1074.5
臺中市,梧棲區,972.67
臺中市,后里區,849.0
臺中市,神岡區,763.83
臺中市,潭子區,558.83
臺中市,大雅區,875.17
臺中市,新社區,655.83
臺中市,石岡區,521.33
臺中市,外埔區,966.33
臺中市,大安區,870.0
臺中市,烏日區,641.5
臺中市,大肚區,486.67
臺中市,龍井區,977.0
臺中市,霧峰區,1034.17
臺中市,太平區,832.17
臺中市,大里區,704.17
臺中市,和平區,324.33
臺南市,東區,843.67
臺南市,南區,671.17
臺南市,北區,849.83
臺南市,安南區,729.0
臺南市,安平區,877.33
臺南市,中西區,818.33
臺南市,新營區,681.5
臺南市,鹽水區,607.33
臺南市,白河區,242.83
臺南市,柳營區,675.83
臺南市,後壁區,635.17
臺南市,東山區,495.83
臺南市,麻豆區,841.83
臺南市,下營區,693.5
臺南市,六甲區,640.67
臺南市,官田區,706.67
臺南市,大內區,500.67
臺南市,佳里區,631.5
臺南市,學甲區,649.0
臺南市,西港區,695.67
臺南市,七股區,569.67
臺南市,將軍區,557.83
臺南市,北門區,0.0
臺南市,新化區,821.33
臺南市,善化區,872.17
臺南市,新市區,578.0
臺南市,安定區,837.83
臺南市,山上區,671.5
臺南市,玉井區,557.67
臺南市,楠西區,518.67
臺南市,南化區,383.83
臺南市,左鎮區,450.5
臺南市,仁德區,709.0
臺南市,歸仁區,659.5
臺南市,關廟區,788.83
臺南市,龍崎區,348.83
臺南市,永康區,697.83
高雄市,鹽埕區,864.17
高雄市,鼓山區,655.0
高雄市,左營區,383.67
高雄市,楠梓區,664.83
高雄市,三民區,658.83
高雄市,新興區,915.67
高雄市,前金區,638.83
高雄市,苓雅區,869.0
高雄市,前鎮區,735.67
高雄市,旗津區,688.17
高雄市,小港區,516.17
高雄市,鳳山區,641.83
高雄市,林園區,590.0
高雄市,大寮區,699.67
高雄市,大樹區,765.83
高雄市,大社區,772.17
高雄市,仁武區,642.17
高雄市,鳥松區,372.33
高雄市,岡山區,687.33
高雄市,橋頭區,672.33
高雄市,燕巢區,739.67
高雄市,田寮區,397.33
高雄市,阿蓮區,681.67
高雄市,路竹區,552.67
高雄市,湖內區,799.17
高雄市,茄萣區,749.5
高雄市,永安區,229.5
高雄市,彌陀區,594.83
高雄市,梓官區,889.83
高雄市,旗山區,721.0
高雄市,美濃區,468.0
高雄市,六龜區,255.5
高雄市,甲仙區,247.83
高雄市,杉林區,396.5
高雄市,內門區,577.5
高雄市,茂林區,0.0
高雄市,桃源區,378.0
高雄市,那瑪夏區,306.67
宜蘭縣,宜蘭市,773.33
宜蘭縣,羅東鎮,672.83
宜蘭縣,蘇澳鎮,692.0
宜蘭縣,頭城鎮,829.5
宜蘭縣,礁溪鄉,816.17
宜蘭縣,壯圍鄉,674.67
宜蘭縣,員山鄉,361.83
宜蘭縣,冬山鄉,681.83
宜蘭縣,五結鄉,798.83
宜蘭縣,三星鄉,721.0
宜蘭縣,大同鄉,146.17
宜蘭縣,南澳鄉,78.33
桃園縣,桃園市,700.33
桃園縣,中壢市,807.33
桃園縣,大溪鎮,604.0
桃園縣,楊梅市,744.83
桃園縣,蘆竹鄉,994.83
桃園縣,大園鄉,824.67
桃園縣,龜山鄉,962.0
桃園縣,八德市,803.17
桃園縣,龍潭鄉,742.5
桃園縣,平鎮市,700.33
桃園縣,新屋鄉,695.5
桃園縣,觀音鄉,828.5
桃園縣,復興鄉,435.0
新竹縣,竹北市,886.67
新竹縣,竹東鎮,646.83
新竹縣,新埔鎮,467.0
新竹縣,關西鎮,720.17
新竹縣,湖口鄉,734.17
新竹縣,新豐鄉,1058.83
新竹縣,芎林鄉,913.5
新竹縣,橫山鄉,479.83
新竹縣,北埔鄉,645.5
新竹縣,寶山鄉,346.33
新竹縣,峨眉鄉,344.0
新竹縣,尖石鄉,327.0
新竹縣,五峰鄉,304.17
苗栗縣,苗栗市,735.33
苗栗縣,苑裡鎮,771.5
苗栗縣,通霄鎮,416.83
苗栗縣,竹南鎮,653.17
苗栗縣,頭份鎮,796.17
苗栗縣,後龍鎮,792.5
苗栗縣,卓蘭鎮,554.0
苗栗縣,大湖鄉,374.5
苗栗縣,公館鄉,752.17
苗栗縣,銅鑼鄉,617.0
苗栗縣,南庄鄉,396.17
苗栗縣,頭屋鄉,189.33
苗栗縣,三義鄉,397.67
苗栗縣,西湖鄉,549.83
苗栗縣,造橋鄉,965.0
苗栗縣,三灣鄉,580.5
苗栗縣,獅潭鄉,389.83
苗栗縣,泰安鄉,369.0
彰化縣,彰化市,822.67
彰化縣,鹿港鎮,779.67
彰化縣,和美鎮,650.33
彰化縣,線西鄉,730.0
彰化縣,伸港鄉,754.83
彰化縣,福興鄉,821.17
彰化縣,秀水鄉,936.0
彰化縣,花壇鄉,886.83
彰化縣,芬園鄉,557.67
彰化縣,員林鎮,677.0
彰化縣,溪湖鎮,736.33
彰化縣,田中鎮,729.5
彰化縣,大村鄉,1046.0
彰化縣,埔鹽鄉,408.67
彰化縣,埔心鄉,778.67
彰化縣,永靖鄉,847.67
彰化縣,社頭鄉,738.33
彰化縣,二水鄉,290.5
彰化縣,北斗鎮,740.67
彰化縣,二林鎮,620.67
彰化縣,田尾鄉,449.5
彰化縣,埤頭鄉,824.5
彰化縣,芳苑鄉,710.17
彰化縣,大城鄉,529.0
彰化縣,竹塘鄉,665.83
彰化縣,溪州鄉,672.67
南投縣,南投市,769.17
南投縣,埔里鎮,498.5
南投縣,草屯鎮,636.33
南投縣,竹山鎮,548.5
南投縣,集集鎮,582.33
南投縣,名間鄉,668.33
南投縣,鹿谷鄉,543.67
南投縣,中寮鄉,276.33
南投縣,魚池鄉,632.67
南投縣,國姓鄉,486.67
南投縣,水里鄉,300.83
南投縣,信義鄉,457.0
南投縣,仁愛鄉,413.17
雲林縣,斗六市,752.0
雲林縣,斗南鎮,727.67
雲林縣,虎尾鎮,613.33
雲林縣,西螺鎮,459.17
雲林縣,土庫鎮,782.33
雲林縣,北港鎮,710.67
雲林縣,古坑鄉,575.0
雲林縣,大埤鄉,752.0
雲林縣,莿桐鄉,797.67
雲林縣,林內鄉,651.83
雲林縣,二崙鄉,871.33
雲林縣,崙背鄉,760.83
雲林縣,麥寮鄉,323.33
雲林縣,東勢鄉,718.0
雲林縣,褒忠鄉,705.83
雲林縣,臺西鄉,562.17
雲林縣,元長鄉,731.5
雲林縣,四湖鄉,582.83
雲林縣,口湖鄉,296.83
雲林縣,水林鄉,584.5
嘉義縣,太保市,818.5
嘉義縣,朴子市,638.17
嘉義縣,布袋鎮,309.17
嘉義縣,大林鎮,698.0
嘉義縣,民雄鄉,659.83
嘉義縣,溪口鄉,566.33
嘉義縣,新港鄉,699.5
嘉義縣,六腳鄉,437.83
嘉義縣,東石鄉,447.67
嘉義縣,義竹鄉,455.67
嘉義縣,鹿草鄉,522.5
嘉義縣,水上鄉,774.33
嘉義縣,中埔鄉,510.33
嘉義縣,竹崎鄉,433.33
嘉義縣,梅山鄉,206.17
嘉義縣,番路鄉,486.5
嘉義縣,大埔鄉,210.0
嘉義縣,阿里山鄉,306.83
屏東縣,屏東市,788.67
屏東縣,潮州鎮,422.83
屏東縣,東港鎮,561.0
屏東縣,恆春鎮,730.0
屏東縣,萬丹鄉,936.5
屏東縣,長治鄉,718.83
屏東縣,麟洛鄉,796.83
屏東縣,九如鄉,655.0
屏東縣,里港鄉,847.67
屏東縣,鹽埔鄉,714.17
屏東縣,高樹鄉,216.5
屏東縣,萬巒鄉,672.17
屏東縣,內埔鄉,745.17
屏東縣,竹田鄉,757.17
屏東縣,新埤鄉,220.67
屏東縣,枋寮鄉,702.83
屏東縣,新園鄉,690.0
屏東縣,崁頂鄉,503.17
屏東縣,林邊鄉,214.83
屏東縣,南州鄉,877.33
屏東縣,佳冬鄉,592.17
屏東縣,琉球鄉,571.83
屏東縣,車城鄉,530.5
屏東縣,滿州鄉,117.17
屏東縣,枋山鄉,440.0
屏東縣,三地門鄉,479.67
屏東縣,霧臺鄉,246.83
屏東縣,瑪家鄉,493.5
屏東縣,泰武鄉,438.17
屏東縣,來義鄉,271.5
屏東縣,春日鄉,465.67
屏東縣,獅子鄉,431.5
屏東縣,牡丹鄉,379.0
臺東縣,臺東市,728.0
臺東縣,成功鎮,605.0
臺東縣,關山鎮,635.17
臺東縣,卑南鄉,565.5
臺東縣,鹿野鄉,549.5
臺東縣,池上鄉,6.67
臺東縣,東河鄉,410.0
臺東縣,長濱鄉,0.0
臺東縣,太麻里鄉,482.17
臺東縣,大武鄉,416.0
臺東縣,綠島鄉,670.0
臺東縣,海端鄉,442.0
臺東縣,延平鄉,483.33
臺東縣,金峰鄉,414.67
臺東縣,達仁鄉,272.17
臺東縣,蘭嶼鄉,0.0
花蓮縣,花蓮市,698.67
花蓮縣,鳳林鎮,633.67
花蓮縣,玉里鎮,667.83
花蓮縣,新城鄉,581.17
花蓮縣,吉安鄉,848.83
花蓮縣,壽豐鄉,503.17
花蓮縣,光復鄉,520.33
花蓮縣,豐濱鄉,468.83
花蓮縣,瑞穗鄉,573.67
花蓮縣,富里鄉,226.0
花蓮縣,秀林鄉,282.33
花蓮縣,萬榮鄉,419.0
花蓮縣,卓溪鄉,481.33
澎湖縣,馬公市,639.83
澎湖縣,湖西鄉,717.17
澎湖縣,白沙鄉,753.17
澎湖縣,西嶼鄉,349.83
澎湖縣,望安鄉,345.0
澎湖縣,七美鄉,0.0
基隆市,中正區,478.83
基隆市,七堵區,619.5
基隆市,暖暖區,484.33
基隆市,仁愛區,413.0
基隆市,中山區,773.17
基隆市,安樂區,820.17
基隆市,信義區,639.83
新竹市,東區,907.33
新竹市,北區,652.67
新竹市,香山區,990.33
嘉義市,東區,695.33
嘉義市,西區,724.33
